id,target,split,time_of_alert,time_of_event,video_path,max_risk_score,mean_risk_score,p90_risk_score,frames_scored,frames_above_threshold,fraction_above_threshold,first_false_alert_time,top_risk_timestamp,top_risk_score,top_prob_class_2,top_prob_class_3,risk_segments_above_threshold,longest_segment_seconds,frames_above_0_5,fraction_above_0_5,frames_above_0_64,fraction_above_0_64
00071,1,val,18.933,19.833,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00071.mp4,0.8831024169921875,0.6766744933010619,0.8525680303573608,81,50,0.6172839506172839,0.0,2.5,0.8831024169921875,0.1450136303901672,0.7380887866020203,3,14.0,66,0.8148148148148148,50,0.6172839506172839
00004,1,val,19.167,19.367,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00004.mp4,0.8788101673126221,0.6796604882419846,0.8480477333068848,81,55,0.6790123456790124,2.0,30.0,0.8788101673126221,0.1584894210100174,0.7203207612037659,4,20.0,68,0.8395061728395061,55,0.6790123456790124
00819,1,val,15.449,19.52,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00819.mp4,0.8410771489143372,0.7109277151525021,0.8069331049919128,80,66,0.825,0.0,30.5,0.8410771489143372,0.1790549159049987,0.6620222330093384,6,20.5,77,0.9625,66,0.825
00143,1,val,18.929,20.074,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00143.mp4,0.8340610861778259,0.7262532629072667,0.8039221644401551,80,70,0.875,0.5,12.0,0.8340610861778259,0.2483163028955459,0.5857447981834412,6,19.5,77,0.9625,70,0.875
00809,1,val,17.9,20.067,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00809.mp4,0.8338293433189392,0.5969352409427549,0.741548478603363,81,31,0.38271604938271603,0.0,12.5,0.8338293433189392,0.1778860837221145,0.6559432744979858,8,5.0,63,0.7777777777777778,31,0.38271604938271603
00013,1,val,18.6,20.567,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00013.mp4,0.8279683589935303,0.5823217967525125,0.7434955656528475,80,51,0.6375,0.5,16.0,0.8279683589935303,0.2389409840106964,0.5890273451805115,8,12.0,64,0.8,51,0.6375
00174,1,val,19.0,20.0,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00174.mp4,0.8238338232040405,0.6926675490391108,0.7816245555877686,81,67,0.8271604938271605,0.0,1.0,0.8238338232040405,0.27276811003685,0.5510657429695129,10,11.0,81,1.0,67,0.8271604938271605
00659,1,val,10.842,11.789,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00659.mp4,0.8227059841156006,0.4504038221560992,0.6769734621047974,65,11,0.16923076923076924,0.0,6.5,0.8227059841156006,0.1297158896923065,0.6929901242256165,2,2.5,26,0.4,11,0.16923076923076924
00194,1,val,17.29,20.329,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00194.mp4,0.8141542077064514,0.5508471727371216,0.7172887325286865,81,25,0.30864197530864196,19.5,29.0,0.8141542077064514,0.1331123113632202,0.6810418963432312,5,8.0,50,0.6172839506172839,25,0.30864197530864196
00123,1,val,18.133,19.467,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00123.mp4,0.8076912760734558,0.7131254934683079,0.7721922874450684,82,73,0.8902439024390244,0.0,19.5,0.8076912760734558,0.1941040307283401,0.6135872602462769,5,15.5,82,1.0,73,0.8902439024390244
00491,1,val,18.867,20.1,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00491.mp4,0.8067759275436401,0.6761985667693762,0.7456048727035522,81,61,0.7530864197530864,3.5,20.5,0.8067759275436401,0.2374478429555893,0.5693280696868896,4,20.5,76,0.9382716049382716,61,0.7530864197530864
00226,1,val,18.333,19.433,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00226.mp4,0.8041467666625977,0.6515300949899162,0.7739382982254028,82,52,0.6341463414634146,0.0,25.0,0.8041467666625977,0.1507427990436554,0.6534039974212646,6,16.5,70,0.8536585365853658,52,0.6341463414634146
00068,1,val,16.733,19.9,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00068.mp4,0.802017092704773,0.6670137342111564,0.7795287370681763,81,50,0.6172839506172839,0.0,32.0,0.802017092704773,0.1367174685001373,0.6652995944023132,6,20.5,70,0.8641975308641975,50,0.6172839506172839
00078,1,val,18.0,18.933,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00078.mp4,0.7989221811294556,0.5185103401353087,0.7305974721908569,79,16,0.20253164556962025,4.5,19.0,0.7989221811294556,0.0947249084711074,0.7041972875595093,3,3.5,45,0.569620253164557,16,0.20253164556962025
00106,1,val,16.9,18.1,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00106.mp4,0.7979349493980408,0.459801215725609,0.6660843253135682,79,13,0.16455696202531644,10.5,30.5,0.7979349493980408,0.1939115077257156,0.6040234565734863,4,2.5,33,0.4177215189873418,13,0.16455696202531644
00363,1,val,17.637,19.107,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00363.mp4,0.7952163815498352,0.632287679631033,0.7722420692443848,81,51,0.6296296296296297,0.0,19.0,0.7952163815498352,0.1820208579301834,0.613195538520813,3,11.0,69,0.8518518518518519,51,0.6296296296296297
00658,1,val,18.846,19.247,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00658.mp4,0.7925618886947632,0.4450475041095803,0.6355169594287873,82,7,0.08536585365853659,9.5,20.5,0.7925618886947632,0.1811136305332183,0.6114482879638672,3,1.0,29,0.35365853658536583,7,0.08536585365853659
00259,1,val,18.483,19.43,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00259.mp4,0.7913249731063843,0.49889413570916213,0.6645815968513489,81,13,0.16049382716049382,5.5,19.5,0.7913249731063843,0.1207792162895202,0.670545756816864,7,2.0,41,0.5061728395061729,13,0.16049382716049382
00224,1,val,17.633,19.367,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00224.mp4,0.7907230854034424,0.6700919361054143,0.7657468676567077,79,45,0.569620253164557,6.0,30.5,0.7907230854034424,0.1607117652893066,0.6300113201141357,3,19.5,79,1.0,45,0.569620253164557
00554,1,val,18.288,20.182,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00554.mp4,0.7905795574188232,0.6809318312156347,0.7349317669868469,81,66,0.8148148148148148,1.5,14.0,0.7905795574188232,0.1308020502328872,0.6597775220870972,8,11.0,80,0.9876543209876543,66,0.8148148148148148
00341,1,val,16.975,19.481,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00341.mp4,0.7893037796020508,0.483130800287898,0.7591107189655304,82,21,0.25609756097560976,0.0,2.0,0.7893037796020508,0.2433658838272094,0.5459378957748413,2,9.0,32,0.3902439024390244,21,0.25609756097560976
00626,1,val,18.333,19.867,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00626.mp4,0.7872751951217651,0.533535114960906,0.6767863035202026,81,20,0.24691358024691357,1.0,17.5,0.7872751951217651,0.3245061635971069,0.4627690017223358,9,2.0,57,0.7037037037037037,20,0.24691358024691357
00958,1,val,17.611,19.081,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00958.mp4,0.7862598299980164,0.5753817322813435,0.7255818247795105,81,30,0.37037037037037035,0.5,1.0,0.7862598299980164,0.2418215125799179,0.5444383025169373,9,5.5,58,0.7160493827160493,30,0.37037037037037035
00529,1,val,18.629,19.805,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00529.mp4,0.7795998454093933,0.5701557379670259,0.7217648506164551,82,39,0.47560975609756095,0.0,1.5,0.7795998454093933,0.1919089555740356,0.5876908898353577,6,11.0,61,0.7439024390243902,39,0.47560975609756095
00700,1,val,18.252,19.92,C:\Users\z004hn4c\Documents\Estudo\LLMOps And AIOps Bootcamp With 8 End To End Projects\nexar-dashcam-collision-prediction\data\raw\train\00700.mp4,0.7794727683067322,0.5509969245029401,0.7404910564422608,79,29,0.3670886075949367,0.0,34.5,0.7794727683067322,0.1906491667032241,0.5888236165046692,7,8.5,52,0.6582278481012658,29,0.3670886075949367
