window_id,id,window_type,timestamp,score
00003_positive_safe_001_001_000,00003,positive_safe,1.0,0.5522123575210571
00003_positive_safe_002_009_000,00003,positive_safe,9.0,0.5430409908294678
00005_positive_safe_001_001_000,00005,positive_safe,1.0,0.4366816282272339
00005_positive_safe_002_011_000,00005,positive_safe,11.0,0.5676739811897278
00006_positive_safe_001_001_000,00006,positive_safe,1.0,0.508499026298523
00006_positive_safe_002_006_500,00006,positive_safe,6.5,0.6012276411056519
00007_positive_safe_001_010_000,00007,positive_safe,10.0,0.768682062625885
00007_positive_safe_002_011_000,00007,positive_safe,11.0,0.7796191573143005
00008_positive_safe_001_007_000,00008,positive_safe,7.0,0.6011494398117065
00008_positive_safe_002_011_000,00008,positive_safe,11.0,0.5963922739028931
00010_positive_safe_001_006_000,00010,positive_safe,6.0,0.5800682902336121
00010_positive_safe_002_011_000,00010,positive_safe,11.0,0.6348766684532166
00014_positive_safe_001_008_500,00014,positive_safe,8.5,0.3556300699710846
00014_positive_safe_002_010_000,00014,positive_safe,10.0,0.3718418478965759
00015_positive_safe_001_007_000,00015,positive_safe,7.0,0.3896254301071167
00015_positive_safe_002_010_000,00015,positive_safe,10.0,0.38133397698402405
00016_positive_safe_001_002_500,00016,positive_safe,2.5,0.36840808391571045
00016_positive_safe_002_005_500,00016,positive_safe,5.5,0.57138592004776
00018_positive_safe_001_008_000,00018,positive_safe,8.0,0.4678247272968292
00018_positive_safe_002_013_500,00018,positive_safe,13.5,0.4704760015010834
00019_positive_safe_001_012_000,00019,positive_safe,12.0,0.5694413781166077
00019_positive_safe_002_014_000,00019,positive_safe,14.0,0.5018489956855774
00021_positive_safe_001_002_000,00021,positive_safe,2.0,0.43321457505226135
00021_positive_safe_002_008_500,00021,positive_safe,8.5,0.3516461253166199
00022_positive_safe_001_004_500,00022,positive_safe,4.5,0.43208208680152893
00022_positive_safe_002_009_000,00022,positive_safe,9.0,0.3860936462879181
00024_positive_safe_001_006_500,00024,positive_safe,6.5,0.6357318758964539
00024_positive_safe_002_014_000,00024,positive_safe,14.0,0.593748927116394
00026_positive_safe_001_001_000,00026,positive_safe,1.0,0.4677029550075531
00026_positive_safe_002_001_500,00026,positive_safe,1.5,0.47984328866004944
00027_positive_safe_001_002_000,00027,positive_safe,2.0,0.5322220921516418
00027_positive_safe_002_004_500,00027,positive_safe,4.5,0.5160504579544067
00028_positive_safe_001_000_500,00028,positive_safe,0.5,0.751153826713562
00028_positive_safe_002_006_000,00028,positive_safe,6.0,0.7503823041915894
00029_positive_safe_001_002_000,00029,positive_safe,2.0,0.13250860571861267
00029_positive_safe_002_010_500,00029,positive_safe,10.5,0.25600922107696533
00031_positive_safe_001_009_500,00031,positive_safe,9.5,0.4863243103027344
00031_positive_safe_002_011_500,00031,positive_safe,11.5,0.4827723801136017
00036_positive_safe_001_006_000,00036,positive_safe,6.0,0.5513788461685181
00036_positive_safe_002_014_000,00036,positive_safe,14.0,0.6202247142791748
00039_positive_safe_001_005_500,00039,positive_safe,5.5,0.6425496935844421
00039_positive_safe_002_010_000,00039,positive_safe,10.0,0.623177170753479
00041_positive_safe_001_004_000,00041,positive_safe,4.0,0.6348466873168945
00041_positive_safe_002_006_000,00041,positive_safe,6.0,0.6049280762672424
00042_positive_safe_001_007_000,00042,positive_safe,7.0,0.7466942667961121
00042_positive_safe_002_008_500,00042,positive_safe,8.5,0.7576614618301392
00043_positive_safe_001_000_500,00043,positive_safe,0.5,0.22549885511398315
